instruction,input,output,
Answer this question,What is the role of the Parliament in adjudicating disputes related to waters of inter-State rivers?,"According to Article 262 of the Indian Constitution, Parliament may make laws providing for the adjudication of disputes or complaints related to the use, distribution, or control of waters in any inter-State river or river valley. Furthermore, Parliament may also make laws stating that neither the Supreme Court nor any other court shall have jurisdiction over such disputes or complaints.",
Answer this question,What is the purpose of an inter-State Council?,"Article 263 of the Indian Constitution states that an inter-State Council may be established if the President believes it would serve the public interest. The Council's duties include inquiring into and advising upon disputes between States, investigating and discussing subjects of common interest to some or all States and the Union, and making recommendations for better coordination of policy and action concerning such subjects.",
Answer this question,What is a Finance Commission and how is it related to the Indian Constitution?,"A Finance Commission, as mentioned in Article 264, is a body constituted under Article 280 of the Indian Constitution. Its primary function is to make recommendations regarding the distribution of financial resources between the Union and the States, including the allocation of shares of taxes, duties, and grants-in-aid to the States. The President considers the recommendations of the Finance Commission while making orders related to the distribution of financial resources.",
Answer this question,What are the rules regarding levying and collecting taxes in India?,"According to Article 265 of the Indian Constitution, no tax shall be levied or collected except by the authority of law. Taxes and duties are mainly divided between the Union and the States, as specified in the Union List and the State List. Some taxes, such as those mentioned in Articles 268, 269, and 269A, are levied by the Union but collected and assigned to the States. Furthermore, Article 271 allows Parliament to increase duties or taxes by a surcharge for the Union's purposes, and the proceeds of such surcharge form part of the Consolidated Fund of India.",
Answer this question,What is the Consolidated Fund of India and the Consolidated Fund of a State?,"According to Article 266, the Consolidated Fund of India consists of all revenues received by the Government of India, loans raised by the Government, and moneys received in repayment of loans. Similarly, the Consolidated Fund of a State comprises all revenues received by the State Government, loans raised by the State Government, and moneys received in repayment of loans. These funds are used for government expenditure, and no money can be appropriated from these funds without following the procedures and purposes specified in the Constitution.",
Answer this question,What is the Contingency Fund of India and the Contingency Fund of a State?,"Article 267 of the Indian Constitution establishes the Contingency Fund of India and the Contingency Fund of a State, which are in the nature of an imprest. These funds are used for meeting unforeseen expenditure pending authorization by the Parliament or the State Legislature. The President has control over the Contingency Fund of India, while the Governor controls the Contingency Fund of a State.",
Answer this question,What are the rules concerning taxes levied and collected by the Union but assigned to the States?,"Article 269 states that taxes on the sale or purchase of goods and taxes on the consignment of goods, except as provided in Article 269A, shall be levied and collected by the Government of India but assigned to the States. The net proceeds of such taxes, excluding proceeds attributable to Union territories, shall not form part of the Consolidated Fund of India but be assigned to the States where the tax is leviable and distributed among them according to principles formulated by Parliament.",
Answer this question,What is the Goods and Services Tax (GST) and how is it apportioned between the Union and the States?,"As per Article 269A, the Goods and Services Tax (GST) is levied and collected by the Government of India on supplies made in the course of inter-State trade or commerce. The tax is then apportioned between the Union and the States as prescribed by Parliament, based on the recommendations of the Goods and Services Tax Council. The amounts apportioned to a State do not form part of the Consolidated Fund of India.",
Answer this question,How are taxes distributed between the Union and the States?,"Article 270 states that all taxes and duties listed in the Union List, except those mentioned in Articles 268, 269, and 269A, and any cess levied for specific purposes, shall be levied and collected by the Government of India and distributed between the Union and the States. A prescribed percentage of the net proceeds of such taxes and duties shall be assigned to the States where they are leviable and distributed among them according to principles prescribed by the President, after considering the recommendations of the Finance Commission.",
Answer this question,"What is a surcharge, and how does it relate to the Union?","A surcharge, as mentioned in Article 271, is an additional charge or tax imposed by Parliament on certain duties or taxes referred to in Articles 269 and 270, except the Goods and Services Tax under Article 246A, for the purposes of the Union. The entire proceeds of a surcharge form part of the Consolidated Fund of India.",
